ID,Win,NickName,Champion,item
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 B.F. 대검 롱소드 판금 장화 죽음의 무도
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 제어 와드 수호 천사 장화 죽음의 무도
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 0 곡괭이 0 헤르메스의 발걸음
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,티아맷 삼위일체 제어 와드 도란의 방패 흡혈의 낫 장화
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,티아맷 충전형 물약 흡혈의 낫 도란의 방패 약간 신비한 신발 삼위일체
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,티아맷 흡혈의 낫 롱소드 삼위일체 도란의 방패 장화
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 0 도란의 방패 장화 롱소드
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 도란의 방패 삼위일체 0 장화 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 B.F. 대검 삼위일체 도란의 검 헤르메스의 발걸음 롱소드
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 스테락의 도전 삼위일체 B.F. 대검 헤르메스의 발걸음 롱소드
