ID,WinRate_Sorted_Champions,PickRate_Sorted_Champions
0RUk-XjTdFTCq6daS89hl9FiI9YwiV3GEGn7Niqo_1dhWFg-,"['Sylas', 'Zed', 'Yone']","['Yasuo', 'Yone']"
0RYn70Q2T_9Onm0lobXVd8L7dFQOy2ft0SWHRBH8bjD0n5Lp0kfB0hWYIw,"['Neeko', 'Aurora', 'Hwei']","['Neeko', 'Hwei', 'Yone']"
0RlpXuRhi9maVAEqW07o5u-0FW0RUyi56MKVeQuagUudJfg,"['Hwei', 'Tristana']",['Yone']
0Rr6RRsloBxgtHiKEFCLZjqb9U2OylQvADcastRtzrNv_OE,"['Jayce', 'Aatrox', 'Ezreal']","['Aatrox', 'Jhin', 'Jayce', 'Ezreal']"
0S_BQy3bRLcgWxj6IUVy1mcJuJkAw9dJDSeZP5JhNEL8nhFHmSJRmPfB5A,"['Elise', 'Nidalee', 'Viego', 'Vi', 'Graves']","['Nidalee', 'Graves']"
0UGg_vVfT2NXm-klkh11Juyp9ho1H9-dIseewgMbEyKv7XA,"['Elise', 'Nidalee']","['Viego', 'Nidalee']"
0UK-Js_o664a0F1hMmk1PHhv2Gdb-gLb5lHmMlAcBBztOpo,"['Amumu', 'Illaoi', 'Graves', 'Veigar']","['Illaoi', 'Amumu', 'Veigar', 'Graves']"
0V4IwuvvfWJC0orKlj7VkyTzo0JF_fVXluesoWdzWTZKBjY,['Taric'],['Taric']
0W59GSni0LkvhPyACwnDnhepRzWqk68NNoMANY2NwkhyKnFy,"['Yone', 'Hwei', 'Aatrox', 'Viego']",['Viego']
0XY1s1b97NsscFEbsT_93HZf-iAotTRb9IVMsA5Y1gdfYr7H,"['Lillia', 'Viego']",['Viego']
0XjT5NtvUUFLvKLhBUOYHjScQorWkmKrHMHNytoO4yKdUP0,"['Nasus', 'Tryndamere', 'Vladimir', 'Yorick']","['Yorick', 'Tryndamere', 'Vladimir', 'Varus']"
0Y7z3VbrV10IsdwvMBEXmRQLDXtuR8S_itRSWH8IBqix-6c,"['Lillia', 'Gragas', 'Graves']","['Viego', 'Graves', 'Nidalee']"
0YMNcIdpBKR6uoNX4YQ88xAer5hrQxGsVScrwVpnbLtm_ZEvy_mmNvwm1A,"['Galio', 'Lissandra']","['Akshan', 'Galio', 'Lissandra', 'Pantheon']"
0YtPCQNNACMGLRHK-vF-vPuvz7ySBeuS1zc1fW2_ap9V900,"['Jinx', 'Jhin']","['Jhin', 'Yone']"
0YukS6G6bWtI96FENYKi8HkHyTyYCP5kh_VxFT6bM4Ra-A,"['Sylas', 'Nidalee', 'Jhin']","['Jhin', 'Nidalee', 'Hwei']"
0ZI_1eVGyPGuH6VEHsQEI5wvfcPSuJ-ztwG-FxCUE9KR6Ms,"['Talon', 'Sylas', 'Diana']","['Talon', 'Diana', 'Sylas']"
0c9fpL33VufF54PeyCYMmnFMOvV4Rc8Mz2tAWpeqp7p-zUg,['Yasuo'],"['Yasuo', 'Yone']"
0dvneZqMQ9RHQsFGr_vAONfhO5o6f5SzjPJkUdj4jP7kpw,"['Poppy', 'Renekton']","['Poppy', 'Renekton', 'Lulu']"
0eIpAr-ZJLhaF4JfMlW4VxHk_KXNngOfkOBMJGRSPMCeZA,['Galio'],['Galio']
0fdhiwVr_NPexxDtP_CWpsaGYKvPTL_DQuUWtZzmlSO0I1rWUTACpDyXjw,"['Viego', 'Karthus', 'Lillia']","['Viego', 'Graves']"
0gMFrGiaMPDjWh8HUpZr2_vHhRAVor8ynRiHQLaXgGIGDYc,"['Skarner', 'Viego', 'Vi', 'Talon']","['Xayah', 'Viego', 'Vi']"
0iSbZ3AJiHUpBHWzMkao2Jy-uOpZuQzXXZpfn9Z5rJzcmH8,"['Syndra', 'Orianna', 'Hwei']","['Syndra', 'Hwei', 'Orianna']"
0j5Md1hUz1wDABurcZ8VuJoOILlyxLGoBgdG3_MWIFSKpxM,['Aatrox'],"['Aatrox', 'Jax', 'Jayce']"
0kDIUuV-P4ITKJbmUXRr1gYlVqAMEaeKN8PDQLbkm4N01A,"['Hwei', 'Orianna', 'Smolder']","['Yone', 'Orianna', 'Hwei']"
